TF	Gene	Confidence
Ahctf1	Ccdc50	0.779923669
Rest	Tubb2b	0.779210237
Etv6	Ddx51	0.779145966
Rreb1	Rasgrp1	0.778800286
Pou2f2	Fbxo2	0.778064852
Klf4	Asns	0.776845645
Bhlhe40	Siah1a	0.776563017
Stat2	Ifnar1	0.776497863
Usf2	Acvr1b	0.776234665
Fos	Dcxr	0.773712892
Bcl6	Dnmt3a	0.773652155
Rreb1	Adipor2	0.772798866
Sp2	Psph	0.772550004
Jun	Srgn	0.772163056
Irf4	Ms4a4b	0.77167617
Batf	Vim	0.771290089
Srebf1	Ctsb	0.771273458
Batf	Itgb7	0.770819254
Elk4	Naa20	0.770617685
Atf2	Inpp1	0.770600076
Irf4	BC094916	0.770408498
Fos	Rdh11	0.768866913
Irf9	Sepw1	0.768330962
Sox4	Clec2i	0.766358309
Jun	Mafg	0.766151927
Egr1	Dctpp1	0.7659126
Fosl2	Sertad1	0.765583226
Bcl6	Wwp1	0.765420183
Bcl6	Slc39a8	0.763821518
Egr1	Pgam1	0.761259317
Irf2	Psme1	0.760596562
Egr2	Ifngr2	0.760554845
Zfx	Prkd3	0.76028196
Relb	Chd7	0.758685528
Irf7	Anapc1	0.75858867
Klf4	Anxa4	0.757773703
Foxo3	Emb	0.757639719
Zbtb7b	Acvr1b	0.755024853
Stat2	Lpin2	0.754456254
Foxk2_Foxp1...	Syf2	0.753526777
Batf	Itpk1	0.752631845
Hsf1	Tpm1	0.752134135
Etv6	Minpp1	0.751684473
Ets1	Cpd	0.751682485
Cebpg	Ncoa1	0.75147967
Rreb1	Tsc1	0.751319287
Irf9	Crem	0.750850416
Irf1	Parp9	0.750847812
Nr4a2	Mllt3	0.750711053
Irf4	Cd1d1	0.750154105
Arid3a	Pex19	0.749290043
Etv6	Heatr1	0.748502547
Fosl2	Pik3ca	0.747705512
Klf7	Qars	0.747495467
Bcl6	Me2	0.745491366
Fos	Capn2	0.745408609
Foxo3	Cdkn2d	0.745260211
Hif1a	Sap30	0.744067604
Cebpb	Oxct1	0.743924918
Irf4	Zfp36l1	0.743393842
Mnt	Inpp1	0.743048166
Fli1	Rps6	0.74259329
Egr1	Tfg	0.742149972
Foxo1	Cox7a2l	0.741955821
Cebpb	Rtn4	0.740285171
Zbtb7b	Bambi	0.74022323
Nfkb1	Rrad	0.740015618
Srebf1	Kif3a	0.738813366
Stat2	Ppp3ca	0.738744081
Ets1	Vegfb	0.738043684
Fos	Piga	0.737822177
Foxo3	Ppp3cc	0.737033597
Fos	Gpsm2	0.736833781
Batf	Emp3	0.736460527
Irf7	Pkp4	0.736180087
Fos	H2afx	0.736075445
Fli1	Ank1	0.735386734
Irf4	Tspan2	0.735368931
Klf7	Trip10	0.735249286
Junb	Sgip1	0.733799422
Irf9	Sertad1	0.732223369
Irf1	N4bp2l1	0.731690876
Fosl2	Gabbr1	0.731028257
Irf4	Glcci1	0.730722758
Foxo3	Tex2	0.729851324
Bach1	Dusp2	0.729712304
Irf7	Pxmp2	0.729323972
Creb1	Slc3a2	0.728483253
Stat1	Cd47	0.727799401
Xbp1	Sult2b1	0.727589016
Stat3	Nsg2	0.727374839
E4f1	Rel	0.727000685
Irf2	Psme2	0.726110897
Foxo3	Rabgap1l	0.725772573
Myc	Mafg	0.72524399
Egr1	Acsl5	0.725171742
Irf2	Tapbp	0.724699634
Irf2	Glipr1	0.724571671
Srebf2	Skil	0.724392523
Bhlhe40	Epc1	0.724207338
Stat3	Atf6	0.723622145
Sp2	Asnsd1	0.723114286
Ets1	Cdk6	0.722952611
Arid3a	Gnptab	0.72239797
Junb	Map3k14	0.722370414
Irf2	Ms4a6c	0.722076755
Rreb1	Tsc22d1	0.721812199
Myc	Tpst1	0.721725153
Egr1	Pigb	0.721078734
Srebf1	Trpv2	0.720832923
Egr2	Smarca2	0.720513192
Ets1	Il2rb	0.719684958
Rest	Rpp14	0.719519658
Zfp281	Ltb	0.719103174
Elk3	Sgip1	0.718560781
Irf2	Ifih1	0.718475953
Irf1	Znrf1	0.717984669
Jun	Hif1a	0.717478617
Fli1	Runx1	0.717370259
Irf7	Nrp1	0.717288863
Batf	Cnn2	0.717145668
Egr1	Dlst	0.716940583
Bcl6	Pdpn	0.716898303
Nfatc1	Alcam	0.716605142
Cebpg	Dgat1	0.715875219
Batf	Emb	0.715562205
Egr1	Gtse1	0.715250253
Rreb1	Clec2i	0.715127122
Bcl6	Cysltr1	0.714374791
Myc	Brd3	0.712584125
Bcl6	Nucb2	0.711399046
Pknox1	Acss1	0.710954855
Arid3a	Cox17	0.710286957
Gabpa	Gart	0.70990355
Bcl6	Stard10	0.709902629
Etv6	Kcna3	0.709352569
Srebf1	Ctla4	0.70801857
Bcl6	Il10	0.707246466
Bcl6	Rnf181	0.706727173
Myc	Trmt5	0.706266328
Batf	Crem	0.705920962
Batf	Adck1	0.705807611
Bcl6	Il24	0.705609874
Etv6	Rpp14	0.703444454
Cic	Foxp1	0.703356257
Sp2	H2afx	0.703056527
Crem	Son	0.702934686
Elk3	Lime1	0.702430163
Zfx	Tef	0.700515598
Klf7	Higd1a	0.69963484
Klf2	Mapk6	0.698897756
Etv6	Mdn1	0.698886015
Smad4	Txk	0.698312108
Bcl6	Eci2	0.698064474
Nr1d2	Adam19	0.697898866
Creb3l2	Tacc2	0.697856558
Irf7	Abcd3	0.697660953
Irf2	Isg20	0.696159143
Ahr	Qtrtd1	0.696136422
Stat1	Ahnak	0.695981253
Pknox1	Srpk1	0.695679205
Stat3	Adarb1	0.694635411
Sox4	Glcci1	0.694326604
Myc	Aen	0.69430474
Stat4	Mapkapk2	0.693737578
Nfatc1	Pdcd1	0.693259499
Bcl6	Avpi1	0.692663874
Batf	Pkp3	0.691917002
Klf7	Tulp3	0.691491132
Fli1	Rps14	0.691366107
Atf2	Vps37b	0.691057269
Batf	Bcl2	0.690863076
Elk3	App	0.690812563
Egr1	Commd9	0.690624766
Irf7	Stk39	0.690270986
Irf7	Acsl6	0.690257295
Bhlhe40	Foxo1	0.690037444
Rreb1	Sox4	0.689849952
Myc	Galk1	0.689609681
Crem	Vamp2	0.689470024
Klf4	Plekha1	0.689467763
Irf1	Hist1h1c	0.68746907
Rxra	Sqle	0.687298854
Bcl6	Slc4a8	0.685706875
Batf	Rab4b	0.685618515
Batf	Cmas	0.685401584
Egr2	Cox7a2l	0.684533909
Fosb	Pik3ca	0.683900196
E4f1	Trib1	0.683478123
Klf4	Pgm2	0.683067742
Hmga1_Hmga1-rs1	Arid5a	0.682766146
Zfp281	Pacs1	0.682125674
Bcl6	Socs3	0.681711623
Jun	Rora	0.680211406
Bach1	Oasl2	0.679125539
Stat2	Sesn1	0.678128717
Smad4	Maff	0.678024334
Egr2	Cxcr4	0.677953486
E2f1	Rpa2	0.67795253
Nr4a2	N4bp2l1	0.677949743
Foxn2	Stat4	0.677645235
Batf	Arid5a	0.675970733
Klf4	Bcl2l2	0.675951688
Bcl6	Chst12	0.6747837
Batf	Edem1	0.674256763
Lyl1_Tal2	Rgs16	0.674092546
Irf4	D930015E06Rik	0.673769732
E4f1	Egr2	0.673726472
Bach1	Sh3bp5	0.67368855
Pknox1	Icam2	0.673309487
Bcl6	Tmem176b	0.672993272
Pou2f2	Kcnmb4	0.672823114
Egr1	Tab2	0.67272603
Sox4	Ehd3	0.672517511
Klf2	Kcna3	0.672291558
Irf9	Rsad2	0.671854446
Batf	Lgmn	0.671796518
Jun	Lpxn	0.671758814
Lef1	Phlpp1	0.671163036
Irf8	Acy1	0.670984787
Egr2	Rgs14	0.670587617
Batf	Cyfip2	0.669544539
Bcl6	Timd2	0.669317818
E4f1	Ptprc	0.669239731
Sp2	Retsat	0.668809483
Bach1	Gltscr2	0.668562205
Irf2	Nrip1	0.667300748
Cebpb	Clybl	0.66694998
Bach1	Trim26	0.666790517
Klf4	Xpnpep1	0.666389286
Myc	Pdxp	0.666124844
Hif1a	Egln3	0.665561434
Nfatc1	Ccr8	0.663543151
Irf4	Slc4a8	0.662480038
Relb	Zeb1	0.662367426
Irf8	Ifit1	0.662218356
Zbtb7b	Fosl2	0.661558732
Irf4	Tnrc6a	0.661511608
Bcl6	Gpsm2	0.6613605
Rreb1	Fam114a2	0.66113236
Xbp1	Dnajc27	0.660421593
Rxra	Tmed3	0.660071134
Zbtb7b	Rasgrp2	0.659909271
Klf4	Bnip3	0.658941436
Myc	Hk2	0.658925792
Srebf1	Flt3l	0.65850272
Egr2	Klf3	0.658474493
Ets1	Tspan6	0.658324585
Egr1	Cd81	0.65721656
Bcl6	B4galt1	0.656719439
Batf	Tec	0.655474036
Klf7	Wee1	0.655335069
Egr1	Hk2	0.655274544
Fos	Slco3a1	0.653979508
Batf	Bmp2k	0.653859754
Arid3a	Gemin6	0.65312963
Cebpb	Narf	0.653084434
Rbpj	Jak2	0.652135517
Sox4	Cd96	0.651791309
Srebf1	Slc4a8	0.651728604
Zbtb7a	Impdh1	0.65117105
Irf7	Asf1a	0.650827986
Pknox1	Ppp3ca	0.650798293
Srebf1	Ucp2	0.650639725
Egr3	Skap2	0.649782882
Stat3	Il2ra	0.649120556
Batf	Slc9a3r1	0.648991251
Srebf1	Mical1	0.64865263
Rela	Rnf181	0.648413005
E2f1	Smpd4	0.647803059
Myc	Il2ra	0.647508458
Rel	Icam1	0.647447206
Fli1	Igfbp7	0.64725276
Cebpb	Zadh2	0.64713425
Arid3a	Tfpi	0.647036479
Bcl6	Agpat3	0.646563936
Irf4	Rsad2	0.646198563
Bcl6	Ethe1	0.645931317
Sox4	Ptbp2	0.645842746
Srebf1	Idh1	0.645779474
Jun	Rab20	0.645201125
Zbtb7b	Socs3	0.645109371
E2f1	Ift57	0.645099278
Irf4	Cyth3	0.64509518
Sox4	Ifit2	0.644820115
Myc	Hsd17b7	0.644368108
Elk3	Fau	0.644092409
Irf4	Nedd9	0.64361654
Bcl6	Mgst3	0.64356831
Rela	Ppcdc	0.643174897
Sp2	Decr1	0.64306234
Rest	Idi1	0.642869078
Stat2	Lta	0.642457561
Nr1d2	Stab1	0.642421547
Fosl1	Ubtd1	0.641102998
Srebf1	Ndrg2	0.64082997
Irf4	Plod3	0.640749348
Gabpa	Acp5	0.639410595
Irf4	Adck1	0.639380101
Stat1	Slco3a1	0.639378461
E2f1	Anln	0.638669348
Cebpg	Nck2	0.638663361
E2f1	Vdac1	0.638623419
Nr3c1	Nucks1	0.637832178
Stat2	Scml4	0.637709604
Arid3a	Xrcc5	0.637099779
Bach1	Taf7	0.636707052
Foxo1	Sash3	0.635986624
Stat3	Tspan5	0.635048413
Zfx	Qrich1	0.63496951
Bach1	Ppp3ca	0.633819028
Pou2f2	Sesn3	0.633100868
Cebpb	Inpp5b	0.63285628
Jun	Cxcr5	0.632812043
Mef2d	Nr4a3	0.632574084
Irf7	Galm	0.632479074
Lef1	Zfp445	0.632411036
Nfkb2	Nfkb2	0.632205179
Klf13	Acvr1b	0.631790533
Egr1	Eif4ebp1	0.631784337
Nfkb2	Utp20	0.631127623
Sp2	Pde6d	0.630882798
Batf	Ets1	0.630789514
Myc	Fli1	0.629849192
E4f1	Mbtd1	0.629724471
Foxo1	Herc4	0.629354645
Jun	Satb1	0.629312137
Ets1	Mgat4b	0.628537822
Bhlhe40	Abca1	0.628478913
Rreb1	Prkcd	0.627835985
Egr1	Abcd3	0.62749375
Pou2f2	Srpk2	0.627383691
Atf2	Egr3	0.627215496
Nfkb2	Dusp2	0.627118229
Dbp	Nrip1	0.626812508
Bhlhe40	Dusp14	0.626512422
Rxra	Wrnip1	0.626478921
Rxra	Rbmx	0.625967169
Nr3c1	Itgb1	0.624867243
Ets1	Cndp2	0.624544203
Xbp1	Tnf	0.62397185
Stat3	Cpd	0.623701083
Rreb1	Sik1	0.623659895
Klf4	Anln	0.623640875
Bach1	Adrb2	0.623496675
Egr1	Tyw1	0.623288245
Stat2	Tox	0.622934877
Irf1	Cd2	0.622910564
Klf4	Retsat	0.622782831
Srebf1	Gap43	0.622623961
Irf2	Papolg	0.622343141
Nr3c1	Opn3	0.621326559
Bcl6	Lrba	0.62126956
Irf2	Cd83	0.621158931
Bcl6	Gja1	0.620833223
Klf4	Abhd4	0.62040496
Batf	Pou2f2	0.620342361
Stat1	Celf2	0.618741569
Ets1	Nudt8	0.618499954
Jun	Sema7a	0.618309211
E4f1	Taf7	0.618091483
Irf4	Cd274	0.617944092
Elk3	Trappc10	0.617261354
Egr2	Ehd3	0.617239057
Batf	B4galt1	0.617218448
Ets2	Stk4	0.61693306
Sp2	Got1	0.616030999
Cic	Ctla4	0.615370022
Rxra	Psrc1	0.615284485
Crem	Crebbp	0.614616698
Klf4	Eif4ebp1	0.61432379
E2f1	Slc39a8	0.613193198
Rel	Pnkd	0.612995146
Rest	Smpd4	0.612396587
Batf	Ripk1	0.612349001
Zfp281	Igf2r	0.612205478
Nr3c1	Gne	0.611355204
Foxn2	Trat1	0.611050954
Foxo3	Cdkn1b	0.610583418
Bcl6	Slco3a1	0.610108169
Bcl6	Ctnna1	0.609833177
Dbp	Per2	0.609404468
Foxo3	Hmgcl	0.608413079
Batf	Gsn	0.608287607
Egr1	Nlgn2	0.607243149
Bcl6	Lgals1	0.607032018
Bcl6	Vim	0.606917226
Jun	Myo10	0.606389771
E2f1	Cs	0.606068518
Bcl6	Wdfy2	0.605692823
Lyl1_Tal2	Slc3a2	0.605552563
Fosl2	Tom1	0.605211934
Stat3	Il21	0.605097216
Bcl6	Cd47	0.604876898
Irf4	Foxp1	0.604482876
Ets2	Sh2d3c	0.604458664
Zfp281	Vgll4	0.603847483
Patz1	Ephx1	0.603747622
Stat2	Lsp1	0.603456141
Hmga1_Hmga1-rs1	Tiparp	0.603339553
Egr1	Pter	0.603224623
Creb1	Tgoln1	0.602222315
Cebpb	S100a13	0.60168728
Bcl6	Sirt2	0.601599259
Bhlhe40	Sesn3	0.601009186
Stat3	Gpr65	0.600815408
Tef	Galnt3	0.600573508
E2f1	Nudt6	0.600278367
Pou2f2	Anxa11	0.600206376
Foxo3	Tspyl4	0.600014823
Foxo3	Pstpip1	0.59915758
Irf2	Samsn1	0.59896065
Fli1	Lime1	0.598360466
Bach1	Nedd9	0.598123615
Stat3	Rnf149	0.598012582
Batf	Pgm1	0.597891002
Bcl6	Slc2a1	0.596739305
Irf7	Cdkn2c	0.595879294
Irf9	Il7r	0.595736423
Dbp	Vamp2	0.595725351
Rela	Il10rb	0.595355897
Arid3a	Tex15	0.595082075
Bcl6	Lmna	0.594836964
Pou2f2	Acss1	0.594374639
Relb	Nfe2l2	0.593213319
Atf3	Ctla2b	0.593016768
Plagl1	Cebpb	0.592916712
Myc	Pla2g12a	0.592495811
Stat3	Mina	0.592382603
Klf7	Aacs	0.592333625
Batf	Abca1	0.592094904
Lyl1_Tal2	Sptlc1	0.592064818
Irf7	Abcb1b	0.591869298
Rela	Nrf1	0.591262297
Irf1	Syne1	0.591062837
Fos	Sugt1	0.590676578
Fos	Pxmp2	0.589734172
Fli1	Rnf149	0.589656804
Arid3a	Naa20	0.589184536
Bcl6	Cyp11a1	0.588970728
Klf4	Arid3a	0.588961508
E2f1	Larp4b	0.5883678
Hsf1	Hmgn1	0.58793613
Srebf1	Stx7	0.587419766
Nfkb2	Pdcd1	0.587206044
Irf9	Lgals3bp	0.586871295
Atf3	Ctla2a	0.586523268
Bach1	Nr4a1	0.586102424
Batf	Ctla2b	0.585211998
Bcl6	Tulp3	0.584385502
Batf	Mxi1	0.584231707
Pbx2	Tec	0.583575506
Irf2	Tcf12	0.583316736
Nfic	Ccl20	0.582745056
Srebf1	Tnk2	0.582692028
Egr3	Lgals1	0.582645403
Batf	Klf7	0.582335683
Mafg	Pou2f2	0.582023135
Cebpb	Tmem43	0.581992016
Rela	Igtp	0.581768312
Rela	Gimap4	0.581075556
Batf	Rcan3	0.579662554
Stat4	Cish	0.579502764
Atf2	Cd74	0.57928123
Pou2f2	Smpd4	0.578921969
Irf4	Slamf6	0.578726269
Egr1	Bcl2l2	0.578535819
Bach1	Fyco1	0.578372172
Jun	Ddr1	0.577029402
Nfkb2	Kdm2b	0.576338446
Ddit3	Dyx1c1	0.575584385
Klf2	Fbxo11	0.57542283
Stat3	Rorc	0.57512957
Nfkb2	Rcl1	0.575000014
Hbp1	Dusp6	0.574261877
Klf10_Klf11	Clic4	0.574153269
Klf4	Dusp22	0.573540585
Fosl2	Znrf1	0.573185761
Klf4	Anxa2	0.572285298
Egr1	Higd1a	0.572094846
Hif1a	Runx2	0.571984578
Nr4a2	Inpp1	0.571338039
Stat3	Tnip2	0.571294653
Gabpa	Nln	0.570497822
Myc	Pycr1	0.570177274
Arid2	Mmd	0.56998212
Nr3c1	Commd9	0.569800072
Erf	Atp6v1d	0.569755768
Fosl1	Gap43	0.569678599
Irf4	Erc1	0.569548594
Irf7	Eno3	0.568783637
E2f1	Haus8	0.568777529
Smad4	Klf10	0.568018419
Fosl1	Myo10	0.567984094
Bcl6	Mta3	0.567496686
Srebf1	Cdk5	0.567336151
Jun	Furin	0.567021618
Irf2	Tnfsf8	0.566885103
Myc	Ptprs	0.566717581
E2f1	Pcbp4	0.566272299
Tbx21	Rassf1	0.566249903
Foxo3	Tbc1d14	0.565850963
Usf2	Bcl11b	0.565078893
Hmga1_Hmga1-rs1	Frmd4b	0.564735698
Zbtb7b	Ypel5	0.564511863
Zbtb7b	Arhgap12	0.564331432
Irf8	Dpp4	0.563454938
Batf	Sema4d	0.562680642
Arid3a	Perp	0.562420649
Rxra	Cox17	0.562401225
Hif1a	Ppme1	0.561993766
Bhlhe40	Casp3	0.561919282
Creb1	Mdn1	0.561740042
Myc	Txndc17	0.561628561
Klf2	Eci2	0.55889451
Batf	Map4k4	0.558326792
Egr2	Tmc6	0.557931865
Klf2	Mapk11	0.557224898
Hif1a	Bnip3	0.556474827
Srebf2	Athl1	0.556163117
Crem	Fau	0.555693913
Nr4a1	Ubiad1	0.555466582
Fli1	Cln5	0.554944803
Batf	Ski	0.554287573
Irf9	Lpp	0.554243397
Nr4a2	Klf4	0.553844758
Stat3	Acsl4	0.552890589
Batf	Ctla2a	0.552681928
Erf	Zfp568	0.552549747
Srebf2	Stat3	0.55196837
Bcl6	Il21	0.551825517
Klf13	Rps6ka2	0.551794002
Egr1	Rpn1	0.551480694
Fosl1	Cndp2	0.551309512
Rel	Map3k8	0.550899159
Egr3	Atp1a1	0.550485162
Pknox1	Sell	0.549854647
Ddit3	Prkca	0.549208437
Bcl6	Cdkn2d	0.548933268
Egr1	Traf3	0.547918442
Klf4	Pfkp	0.547705235
Cebpb	Dnajc12	0.547250381
Bhlhe40	Spsb1	0.547110644
Klf7	Sars	0.546660117
Bcl6	Chm	0.546394123
Klf10_Klf11	Sqle	0.546185372
Fosl1	Piwil2	0.545944482
Rela	Stat4	0.545583647
Elk3	Abcb9	0.54556981
Egr1	Sap30	0.545397577
Batf	Papss1	0.545287315
Fosl2	Ss18	0.545232127
Egr1	Acad9	0.544166207
Pou2f2	Epc1	0.54384493
Klf3	Rasgrp2	0.540995479
Fos	Sf3b3	0.540160365
Egr1	Uqcrq	0.540055312
Elk3	Mta3	0.540047431
Nfe2l2	Prkch	0.540015532
Cebpb	Lrba	0.538715249
Elk3	Zfp36l2	0.537175546
Mafg	Opn3	0.536408471
Rorc	Chm	0.536156053
Tbx21	Smox	0.535955683
Stat3	Etv6	0.535581456
Atf3	Tle1	0.53480558
Irf8	Utrn	0.534678289
Arid3a	Acad9	0.534425984
Bcl6	Capg	0.533575808
Nr4a2	Sytl2	0.533458287
Rela	Myb	0.533214837
Sp3	Mapk3	0.533208495
Hif1a	Pgam1	0.533153338
Irf9	S1pr1	0.53292982
Arid3a	Alcam	0.531872393
Sp2	Stk39	0.531762622
Sox4	Vgll4	0.531662945
Bach1	Sepw1	0.530591237
Klf4	Sars	0.529812816
Arid3a	Trmt5	0.528637378
Bcl6	Erc1	0.527883467
Bcl6	Trps1	0.527790971
Stat3	Il2rb	0.526762014
Bach1	Ptp4a1	0.526753958
Batf	Ss18	0.526396303
Creb1	Fbxw2	0.526371926
Jun	Tec	0.525191873
Jun	Fam83g	0.525027874
Foxo3	Mxi1	0.524923228
Rela	Herc4	0.524889097
Nr4a2	Rasgrp1	0.524385743
Pknox1	Cyth1	0.523274095
Ahctf1	Tmtc4	0.523161763
Bcl6	Furin	0.522703263
Irf9	Lime1	0.522473589
Irf2	Gbp4	0.521898316
Rela	Ifnar1	0.521201025
Runx1	Chm	0.52080265
Sp2	Cs	0.520532394
Irf2	Lpin2	0.520094521
Bcl6	Il12rb2	0.519901042
Batf	Wdr81	0.519685217
Tef	Perp	0.519580655
Bhlhe40	Egr2	0.519389098
Pou6f1	Ccng1	0.519164488
Atf3	Traf6	0.51774024
Jun	Tes	0.517424489
Klf4	Marcks	0.516225075
Irf9	Stat2	0.516186409
Bcl11b	Syne1	0.515958531
Crem	Arhgap17	0.515516928
Ahctf1	Mina	0.514998064
Stat1	Ing2	0.514717334
Jun	Pmepa1	0.514111277
Egr2	Sema4f	0.513914721
Relb	H2-Ab1	0.513478774
Zbtb7b	Zfp36l2	0.513093298
Egr3	Clybl	0.512605099
Irf7	Itgb3bp	0.512566646
Pou2f2	Ms4a6c	0.511111582
Fosl2	Ets1	0.510921169
Creb3l2	Ubiad1	0.510857823
Zbtb7a	Tgfbr1	0.510448476
Ets1	Ralb	0.507608551
Jun	Frmd4b	0.507302464
Runx1	Cd2	0.507296222
Klf4	Igf2bp3	0.506580158
Gabpa	Sf3b3	0.506560411
Nfatc1	Ptger2	0.505964846
Foxo3	Fam3c	0.505885084
Arid3a	Sema4d	0.505760999
Fosl2	Tle1	0.50491005
Stat2	Agpat3	0.504276289
Rreb1	B4galnt1	0.503185558
Bhlhe40	Rab4b	0.502443012
Plagl2	Rcsd1	0.502113744
Egr1	Thoc3	0.501775485
Rara	Abcg1	0.501514837
Irf2	Serpinb9	0.501504389
Srebf2	Iqgap2	0.500897217
Irf7	Notch2	0.500612915
Klf3	Hvcn1	0.500419471
Deaf1	Nfatc1	0.499594302
Creb1	Srgn	0.499404444
Batf	Foxo1	0.499394602
Jun	Picalm	0.498296227
Hsf1	Serpine2	0.495864611
Irf4	Papolg	0.495841539
Klf4	Clic1	0.495709571
Sox4	Wipf1	0.495071938
Rorc	Mapkbp1	0.494950916
Rest	Zbed4	0.494712599
Atf3	Pmepa1	0.494178453
Bcl6	Casp6	0.493785441
Gabpa	Aldh3a2	0.493417607
Rxra	Nme4	0.493213082
Batf	Map3k1	0.493094069
Fosl2	Tes	0.492302824
Egr2	Klf4	0.492063522
Relb	Lpp	0.490439468
Cebpg	Bcl11b	0.490309958
Irf7	Fap	0.488462878
Srebf1	Egln3	0.487142792
Atf2	Atad2b	0.484512234
Batf	Nfe2l2	0.484507896
