TF	Gene	Confidence
Srebf1	E330009J07Rik	0.278260472
Bhlhe40	Ccr8	0.277519742
Fli1	Lclat1	0.277348389
Egr1	Zfp239	0.277109417
Tbx21	Socs3	0.276668996
Bhlhe40	Spsb1	0.27641615
Tcf12	Exo1	0.276306074
Sp2	Sars	0.276029317
Irf8	Auh	0.275743586
Elf1	Snx11	0.275660382
Zfp281	Rreb1	0.275097052
Rora	Ets1	0.274516651
Zbtb7b	Ypel5	0.273795662
Srebf2	Traf6	0.273794136
Myc	Fli1	0.273773764
Cic	Il2ra	0.273755181
Hsf1	Kcna3	0.273494182
Sp2	Snx10	0.273347778
Pou2f2	Tspyl4	0.273282283
Mef2d	Kdm2b	0.272984716
Junb	Itgb7	0.272534186
Irf4	Ccr7	0.272469799
E2f1	Nudt6	0.27229245
Etv6	Rps6	0.272210726
Fosl1	Ubtd1	0.2713747
Zfp281	Klf13	0.271335095
Elk3	Padi2	0.271216299
Irf7	Map3k8	0.270831057
Elf1	Nfkbie	0.27077637
Lef1	Itpr1	0.270518747
Stat3	Sesn3	0.27034814
Irf9	Il7r	0.270259908
Klf4	Fez2	0.269923225
Tcf3	H2-Aa	0.269755359
Fli1	Rab20	0.269596111
Runx2	Sh3kbp1	0.269488477
Zbtb7b	Id3	0.269429797
Sp3	Nfil3	0.268440436
Sp2	Aldoa	0.268014269
Srebf2	Ahr	0.26794447
Nr1d2	Kcnmb4	0.267423048
Sp2	Asnsd1	0.267418425
Egr3	Dhcr7	0.267129109
Elk3	Ppp3cc	0.266913218
Pou2f2	Pten	0.26685524
Rest	Plekha2	0.266840387
Bhlhe40	Lrrc59	0.266695199
Irf9	Gbp2	0.26647921
Irf4	Zscan21	0.265690331
Sp3	C2cd2l	0.265625542
Elf1	Oasl2	0.265525544
Sp3	Mgat4b	0.265322108
Arid3a	Pim1	0.265251901
Zbtb7a	Plxnd1	0.264942301
Egr1	Hspg2	0.264915695
Maff	Igtp	0.264141898
Maff	Dnajc12	0.263822663
Klf4	Trip10	0.263745921
Bcl6	Gem	0.263602719
Cebpb	Fap	0.263490866
Bcl6	Nkain1	0.263375495
Rela	Cbx4	0.263336182
Fos	Fbxo4	0.262097357
Stat1	Stra6	0.2619701
Zfx	Tom1	0.260240085
Batf	Aim1	0.259511967
Fosl1	Myo10	0.259465779
Fos	Epsti1	0.258306144
Etv6	Cstf2t	0.258047772
Egr1	Prpsap2	0.257999309
Pou2f2	Pter	0.257584573
Myc	Lrrc59	0.257410488
Runx2	Slamf7	0.257374147
Irf1	Rap2b	0.256730163
Klf4	D1Ertd622e	0.256576354
Irf4	Slfn2	0.256479262
Stat3	Hook2	0.256274347
Srebf1	Trpv2	0.255923699
Bcl6	Ctnna1	0.255901053
Bhlhe40	Me2	0.255874815
Batf	Tspan6	0.255307197
Sp2	Ccbl2	0.25508949
Nr1d2	Cysltr1	0.254714716
Nfat5	Jak2	0.254297667
Junb	Pgm1	0.254172633
Stat1	Gbp2	0.25391319
Fos	Avpi1	0.253907808
Irf1	Cd83	0.253408406
Zbtb7a	Mapk7	0.253251037
Rela	Cd4	0.25314995
Atf5	Slco3a1	0.253132889
Irf4	Id3	0.252934147
Runx2	Eid1	0.252895513
Fos	Srxn1	0.252848012
Maff	Tsc22d3	0.252809634
Sp3	Pgm1	0.252588898
Fli1	Fli1	0.252372509
Stat3	Stat3	0.25218463
Irf9	Hist1h1c	0.251678509
Srebf1	Tfg	0.251329531
Tef	Dgat1	0.251119506
Creb1	Ormdl1	0.250892302
Myc	Bcl2l1	0.250817724
Cebpb	Rtn4	0.250626201
Egr1	Tab2	0.250594937
Rxra	Slc2a3	0.250594746
Fos	Spata6	0.250555751
Rreb1	Smarca2	0.250060384
Rel	Pnkd	0.249840863
Mafg	N4bp2l1	0.249379361
Rest	Cd47	0.249330036
Sp2	Nfil3	0.248513367
Irf4	Gemin6	0.248198589
Arid3a	Abcb1b	0.247770532
Tcf3	BC021614	0.24742656
Irf8	Ripk2	0.247242229
Rora	Twsg1	0.246942735
Myc	Zfp239	0.246582212
Irf4	Samsn1	0.245307947
Irf4	Tspan2	0.244326025
Klf10_Klf11	Sh2d3c	0.243843815
Egr1	Bcl2l1	0.243325499
Myc	Dnmt3a	0.242341253
Foxk2_Foxp1...	Tbxa2r	0.241847893
E4f1	Egr2	0.241765752
Stat2	Tapbp	0.241669789
Zfx	Acin1	0.24059733
Sp2	Cst3	0.240283191
Stat1	Arid5a	0.239983991
Foxo1	Ppcdc	0.239079763
Fosl1	Padi2	0.238823469
Bcl6	Wwp1	0.238529329
Pou2f2	Vrk2	0.237876325
Srf	Tes	0.237764885
Nr3c1	Abcb1b	0.237656726
Klf4	Anxa4	0.237278676
Irf7	Ggta1	0.236475451
Sp3	Cish	0.235598335
Stat1	Tec	0.235395713
Rest	Tubb2b	0.235251161
Fli1	Tes	0.234813594
Srf	Zfp36	0.234805804
Pou2f2	Inpp1	0.234612582
Tef	Sema4f	0.234262311
Rxra	Dyx1c1	0.233667145
Elf1	Mbtd1	0.233335283
Elf1	Eno3	0.232809793
Stat4	Parp6	0.231467793
Stat4	Ltb	0.231368674
Nr4a2	Trim12a	0.231356116
Egr2	Vamp2	0.230269491
Bcl6	Eci2	0.229862261
Elf1	Trim12a	0.229704459
Sp2	Rnf181	0.229675387
Pou2af1	Nck2	0.229067517
Rora	Lpp	0.228183881
Runx1	Mgst3	0.228179925
Foxo1	Ifit1	0.22812672
Hif1a	Arrb1	0.227946792
E4f1	Mbtd1	0.227911141
Rxrb	Ccr7	0.227827881
Fosl1	Surf4	0.227605794
Zfp281	Acvr1b	0.22757278
Elf1	Arhgef3	0.226936695
Stat3	Twsg1	0.226811256
Tbx21	Smox	0.226607011
Pou2f2	Plxnc1	0.225896015
Irf1	Plk2	0.22550686
Zfp281	Inpp5a	0.225327928
Elk3	Smox	0.224172126
Klf3	Ggta1	0.224149358
Fos	Abcg2	0.22387272
Pou2f2	Tnfsf9	0.223581357
Irf4	Dusp1	0.223443575
Bcl6	Nck2	0.223042259
Sp3	Ankzf1	0.222629614
Fli1	Ltb	0.222529784
Nr1d2	Alpk2	0.222263484
Stat2	Psme2	0.221379211
Zfp281	Vamp2	0.221198906
E2f1	Mboat7	0.220324776
Srebf1	Pdpn	0.21927541
Sox4	Ms4a4b	0.219265777
Rxrb	Higd1a	0.218629708
Irf7	Itpr1	0.216676263
Rela	Cyr61	0.216567551
Rreb1	Kctd12	0.216428809
Rela	Dnajc12	0.216342207
Sp3	Hemk1	0.215093659
Pou2f2	Ms4a6c	0.211878673
Stat1	Acsl4	0.211425828
Rela	Rnf181	0.210695238
Irf9	Basp1	0.21015254
Stat2	Agpat3	0.209615814
Srebf2	Tec	0.209165464
Fos	Ccng1	0.209092359
Pou2f2	Fundc2	0.209028939
Foxo1	Vgll4	0.208916869
Elf1	Naa20	0.207709391
Nfe2l2	Pla2g12a	0.2076285
Tcf12	1190002N15Rik	0.207475836
Rela	Rtn4	0.207449437
Egr2	Zfp36l2	0.206747524
Fosl1	Vim	0.206726023
Rel	H2-Eb1	0.206343574
Hif1a	Egln3	0.205543238
Bcl6	Il7r	0.20538004
Rela	Syce2	0.204976947
Irf8	Fap	0.204286027
Srebf1	Casp6	0.203972048
Arid3a	Mnda	0.203806933
Klf4	Pfkp	0.203518864
Bcl6	Klf7	0.203254046
Runx1	Ccng1	0.203180148
Mafg	Sepw1	0.202984329
Cdc5l	Lpin2	0.202794351
Rela	Ppcdc	0.202723365
Pou2f2	Ing2	0.202695107
Gabpa	Gart	0.202508237
Zfp281	Mapk7	0.201732272
Myc	Ptprs	0.201668681
Irf8	Cd74	0.200325293
Elk4	Gart	0.199902044
Batf	Plod2	0.199700071
Crem	Vgll4	0.199154451
Runx1	Exoc4	0.198962192
Mafg	1190002N15Rik	0.198443115
Elf1	Pbx2	0.198210119
Stat3	Ptpn2	0.198157595
Bcl6	Timd2	0.197865519
Egr2	Klf13	0.196611388
Sp2	Fads2	0.196560116
Foxo3	Fez2	0.195494017
Pou2f2	Cyr61	0.19460689
Egr1	Eno3	0.193646267
Stat2	Sepw1	0.193239274
Klf13	Tbxa2r	0.192522457
Fos	Mgst3	0.192199843
Fosl1	Creb1	0.192092659
Mxi1	Rpn1	0.189993632
Sp3	Egln3	0.189366964
Klf4	Tubb2b	0.188336966
Egr1	Dyx1c1	0.188272588
Myb	Rgs1	0.188154798
Creb1	Tsc22d3	0.187685161
Zbtb7b	Rreb1	0.187544635
Sp2	Ankzf1	0.186294854
Irf1	Mnda	0.184836652
Rela	Pde6d	0.183938148
Rest	Fbxo18	0.183800305
Klf4	Trib3	0.183182007
Irf8	Gimap7	0.182707132
Klf2	Inpp5a	0.182177576
Creb1	Vgll4	0.182080944
Gabpa	Mecr	0.181135731
Foxo1	Dpp4	0.181062275
Bcl6	Rabgap1l	0.181026444
Srebf1	Pfkp	0.17960285
Klf3	Ascc1	0.1795724
Runx1	Ripk2	0.178923153
Sp4	Sh3bp1	0.178636623
Runx2	Tmem38b	0.17816214
Foxo1	Hspa4l	0.178061177
Sox4	Mllt3	0.178011998
Bcl6	Avpi1	0.177807681
Maff	Gja1	0.177590945
Klf7	Sars	0.177044968
Sp2	Ascc1	0.177006426
Nr4a2	Parp8	0.176811632
Junb	Bmp2k	0.176362595
Egr1	Fundc2	0.175526104
Fos	Abcd3	0.17546658
Myc	Rpn1	0.174600839
Crem	Vps37b	0.174366973
Klf4	Ethe1	0.173351483
Irf1	Abcg2	0.173317255
Arid3a	Creb1	0.173125542
Irf4	Tnfsf8	0.172852564
Rela	Lsp1	0.171794903
Bhlhe40	Inpp5a	0.170483607
Zeb1	Eef1a1	0.169124015
Sp2	Bbc3	0.169078822
Irf2	Trim26	0.167056329
Batf	Gja1	0.16696354
Nfe2l2	Casp6	0.166427666
Sox4	Sh3kbp1	0.165367791
Bcl6	Cd47	0.165328845
E2f1	Idi1	0.164697968
Irf4	Tmem38b	0.16392565
Fosl2	Znrf1	0.163734248
Pou2f2	Marcksl1	0.163703378
Bcl6	Ggta1	0.16266668
Cebpg	Hspa4l	0.162218691
Klf2	Pou2f2	0.161235013
Tbx21	Il4ra	0.161228562
Tcf3	Casp6	0.160301414
Foxo3	Tspyl4	0.159517254
Crem	Idi1	0.159258147
Batf	Pou2f2	0.159045328
Fosl1	Sirt2	0.158049374
Bcl6	Fez2	0.157754305
Zfx	D930015E06Rik	0.15761927
Tcf3	Bbc3	0.1574676
Irf9	Tapbp	0.156948195
Erf	Tnrc6a	0.156841619
Runx1	Cd44	0.15526021
Klf7	Ascc1	0.155090932
Srebf1	Timd2	0.152109586
Fos	Serpine2	0.151750578
Fosl1	Tgm2	0.15105684
Atf3	Qtrtd1	0.149522988
Srebf1	Rabgap1l	0.149197306
Klf9	Pknox1	0.148228175
Rela	Mllt3	0.147582188
Pou2f2	Spata6	0.147395116
Pou2f2	Basp1	0.14680572
Egr1	9030617O03Rik	0.145933933
Nr3c1	Qtrtd1	0.145726053
Sp2	Ing2	0.145348539
Bcl6	Sirt2	0.145088375
Rest	Aldoa	0.1449931
Sp4	C2cd2l	0.143866771
Stat2	Lsp1	0.142183381
Egr1	Abcd3	0.142013783
Foxo3	Mxi1	0.141823915
Irf9	Bcl2	0.141562831
Stat2	Trim26	0.140968693
Fos	Sf3b3	0.140100953
Fos	Plxnc1	0.139833251
Cebpb	Ivd	0.13978262
Egr1	Marcksl1	0.138760754
Creb1	Plk2	0.137070256
Rora	Prkch	0.133401411
Foxo3	Rabgap1l	0.133013823
Sp2	Pde6d	0.132550266
Elk3	Lpxn	0.132084944
Egr3	D930015E06Rik	0.131579397
Irf8	Vrk2	0.130655016
Stat2	Lpin2	0.130099495
Runx1	Abcg2	0.128699741
Zfp281	Sh2d3c	0.127987575
Irf1	Tnfaip8	0.122024524
Runx1	Cst3	0.119774767
Irf4	Arhgef3	0.118716744
Sp2	Fbxo4	0.117503734
Sp2	Ivd	0.117228399
Mnt	Inpp1	0.116738975
Bcl6	Ptprj	0.114685859
Atf5	1190002N15Rik	0.112903927
Egr1	Pde6d	0.111424546
Batf	Gem	0.111359806
Elk3	Myo10	0.109188165
Mef2d	Sf3b3	0.108754989
Irf4	Cd44	0.108102731
Irf2	Ifi203	0.107681303
Sp2	Stk39	0.107512006
Irf4	Tnfaip8	0.104652451
Egr1	Stk39	0.103930735
Ets1	Zfp239	0.101334343
Creb1	Vps37b	0.10091089
Sp2	Eci2	0.100234871
Fosl1	Pfkp	0.09793635
Cebpb	9030617O03Rik	0.097403467
Rest	Ggta1	0.093953913
Rela	Cd74	0.0923901
Foxo1	Tspyl4	0.090215972
Stat2	Trim12a	0.089693777
Fos	Gla	0.088122478
Stat1	Pdpn	0.085107249
Tef	Avpi1	0.084491324
Fos	Idh1	0.084013325
Stat4	Bcl3	0.079776583
Irf8	Cd44	0.073335444
Irf8	Tapbp	0.067126929
Creb1	Dusp1	0.063336655
Rela	Sh3kbp1	0.059634663
Sp3	Ccdc92	0.058335879
Irf1	Fap	0.054096566
Bcl6	Emb	0.052324681
Rela	Bnip3	0.040911346
Pou2f2	Mxi1	0.040612622
Rxra	Cst3	0.037729119
Stat1	Myo10	0.023236608
Mga	Sertad3	0.014496377
